CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
OW443833,3/19/1998,Rayan,Saqib,GINF1,+(212) 420-82447,Rayan.Saqib@gmail.com
NP426997,2/19/1999,Abdul Zahra,Nihad,GINF1,+(212) 426-09926,Abdul Zahra.Nihad@gmail.com
ZJ767422,11/26/1998,Imad,Hisham ,GINF1,+(212) 630-13214,Imad.Hisham @gmail.com
LV107898,2/19/1999,Moin ,Baki,GINF1,+(212) 220-77535,Moin .Baki@gmail.com
MZ424582,3/16/1999,Moatassem,Yusuf,GINF1,+(212) 280-17860,Moatassem.Yusuf@gmail.com
CD537101,5/7/1999,Nabil,Masoud,GINF1,+(212) 687-30469,Nabil.Masoud@gmail.com
MC720680,5/22/1998,Musa ,Abdul Muttalib,GINF1,+(212) 449-87069,Musa .Abdul Muttalib@gmail.com
DA707592,3/2/1998,Hamid al-Din,Nabih,GINF1,+(212) 612-81874,Hamid al-Din.Nabih@gmail.com
MP195430,1/31/1999,Haitham,Naqibullah,GINF1,+(212) 469-90702,Haitham.Naqibullah@gmail.com
OK912917,5/30/1999,Fazlallah,Mahalati,GINF1,+(212) 220-83810,Fazlallah.Mahalati@gmail.com
PY341994,4/3/1999,Hidayatullah,Munif,GINF1,+(212) 133-24759,Hidayatullah.Munif@gmail.com
OB670131,3/5/1999,Fahri,Haldun,GINF1,+(212) 158-72024,Fahri.Haldun@gmail.com
ZM608619,6/16/1998,Faqir ,Nasuh,GINF1,+(212) 144-62081,Faqir .Nasuh@gmail.com
SJ927522,3/17/1999,Muslim ,Abdur Rauf,GINF1,+(212) 106-89417,Muslim .Abdur Rauf@gmail.com
MV765221,12/24/1998,Wajid ,Yadollah,GINF1,+(212) 730-41758,Wajid .Yadollah@gmail.com
WE616544,11/23/1998,Uthman ,Sardar ,GINF1,+(212) 539-50007,Uthman .Sardar @gmail.com
UG463827,12/7/1998,Karim,Salah ,GINF1,+(212) 117-83171,Karim.Salah @gmail.com
VQ238686,3/21/1999,Zahed,Chadli,GINF1,+(212) 781-17902,Zahed.Chadli@gmail.com
MQ193443,10/10/1998,Shams,Fakhr al-Din,GINF1,+(212) 123-84853,Shams.Fakhr al-Din@gmail.com
NT601620,1/25/1999,Hussein,Abu Hamza,GINF1,+(212) 039-35740,Hussein.Abu Hamza@gmail.com
NG198022,7/23/1998,Adir,Izz al-Din,GINF1,+(212) 885-73388,Adir.Izz al-Din@gmail.com
ZI633105,6/1/1999,Nabil,Adib,GINF1,+(212) 094-49702,Nabil.Adib@gmail.com
BJ629379,6/1/1999,Amin al-Din,Abid,GINF1,+(212) 595-34057,Amin al-Din.Abid@gmail.com
WV366944,10/5/1998,Fakhraddin,Nawaf,GINF1,+(212) 797-24984,Fakhraddin.Nawaf@gmail.com
MD573160,1/3/1998,Abu Nasir,Redouane,GINF1,+(212) 564-97740,Abu Nasir.Redouane@gmail.com
RQ968880,1/11/1998,Adham,Nowfal,GINF1,+(212) 844-70757,Adham.Nowfal@gmail.com
QI846822,3/26/1998,Reza,Sattar,GINF1,+(212) 885-90577,Reza.Sattar@gmail.com
OD411601,3/1/1998,Zafarullah,Wazir,GINF1,+(212) 519-23036,Zafarullah.Wazir@gmail.com
ET411981,6/9/1999,Amin al-Din,Nazim,GINF1,+(212) 085-56760,Amin al-Din.Nazim@gmail.com
XF759076,3/4/1999,Naseer,Ubayd Allah,GINF1,+(212) 767-40907,Naseer.Ubayd Allah@gmail.com
KW533566,1/13/1998,Sarmad,Ramzan,GINF1,+(212) 159-46252,Sarmad.Ramzan@gmail.com
RI424009,5/16/1998,Hani ,Sharaf al-Din,GINF1,+(212) 145-97677,Hani .Sharaf al-Din@gmail.com
WR709242,3/4/1999,Rajab ,Awad,GINF1,+(212) 794-12962,Rajab .Awad@gmail.com
XP901749,4/8/1999,Rahmatullah,Murtaza,GINF1,+(212) 488-46868,Rahmatullah.Murtaza@gmail.com
FI607852,5/7/1999,Asghar,Musa ,GINF1,+(212) 623-43896,Asghar.Musa @gmail.com
VY905594,3/17/1999,Yahya ,Fadel,GINF1,+(212) 858-53528,Yahya .Fadel@gmail.com
ZE392767,8/3/1998,Wajdi,Abd al-Rahman,GINF1,+(212) 553-33165,Wajdi.Abd al-Rahman@gmail.com
CO907391,4/7/1998,Saleh ,Yusuf Ali,GINF1,+(212) 141-33389,Saleh .Yusuf Ali@gmail.com
OF643727,8/9/1998,Akif,Abdur Raqib,GINF1,+(212) 243-51803,Akif.Abdur Raqib@gmail.com
MI841974,3/12/1998,Gulzar ,Badr al-Din,GINF1,+(212) 558-74215,Gulzar .Badr al-Din@gmail.com
YM856788,8/3/1998,Ghanem,Ghanem,GINF1,+(212) 004-66031,Ghanem.Ghanem@gmail.com
OJ995084,6/5/1999,Ali Reza,Abo,GINF1,+(212) 102-83827,Ali Reza.Abo@gmail.com
VC864592,12/26/1998,Abu Abdullah,Haldun,GINF1,+(212) 682-63400,Abu Abdullah.Haldun@gmail.com
VL433937,2/16/1998,Ismatullah,Sa'd al-Din,GINF1,+(212) 448-02783,Ismatullah.Sa'd al-Din@gmail.com
BQ867561,3/21/1998,Anjem,Abdul Hussein,GINF1,+(212) 075-66745,Anjem.Abdul Hussein@gmail.com
