CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
JY142913,1/29/1998,Uday,Jubayr,GSEA1,+(212) 635-41181,Uday.Jubayr@gmail.com
MH733833,3/23/1998,Yusha ,Yacine,GSEA1,+(212) 031-04831,Yusha .Yacine@gmail.com
SR933502,8/11/1998,Farhat,Mamdouh,GSEA1,+(212) 894-45337,Farhat.Mamdouh@gmail.com
YG691471,2/16/1998,Muzaffar,Mustafa,GSEA1,+(212) 219-00496,Muzaffar.Mustafa@gmail.com
XQ700889,12/16/1998,Ziaur Rahman ,Lutfullah,GSEA1,+(212) 560-30524,Ziaur Rahman .Lutfullah@gmail.com
SK126193,9/4/1998,Rahman ,Moinuddin,GSEA1,+(212) 433-16907,Rahman .Moinuddin@gmail.com
TD472572,1/16/1998,Fakhruddin,Gamil ,GSEA1,+(212) 242-75308,Fakhruddin.Gamil @gmail.com
JB644100,1/14/1998,Kamal ad-Din,Islam,GSEA1,+(212) 667-57651,Kamal ad-Din.Islam@gmail.com
XO644259,6/4/1998,Nizam al-Din,Nu'man,GSEA1,+(212) 671-77526,Nizam al-Din.Nu'man@gmail.com
NT804764,1/1/1998,Abdul Monem,Hakim ,GSEA1,+(212) 513-44394,Abdul Monem.Hakim @gmail.com
OG118910,2/11/1998,Muslim ,Rabih,GSEA1,+(212) 375-54765,Muslim .Rabih@gmail.com
SJ896550,2/22/1999,Bilel,Hamid al-Din,GSEA1,+(212) 027-73718,Bilel.Hamid al-Din@gmail.com
ZB685599,8/15/1998,Raji,Habib,GSEA1,+(212) 786-35687,Raji.Habib@gmail.com
ER733966,6/15/1999,Khamis ,Rashid ,GSEA1,+(212) 680-67322,Khamis .Rashid @gmail.com
LB127061,12/15/1998,Nasuh,ayman,GSEA1,+(212) 144-79020,Nasuh.ayman@gmail.com
WN121041,2/10/1998,Harun,Najib,GSEA1,+(212) 889-95211,Harun.Najib@gmail.com
EO311816,4/2/1998,Khalid,Abdul Hakim,GSEA1,+(212) 270-08674,Khalid.Abdul Hakim@gmail.com
RQ736034,3/22/1998,Waleed,Abdi,GSEA1,+(212) 606-81750,Waleed.Abdi@gmail.com
ZR327607,2/1/1999,Hakim ,Hussein,GSEA1,+(212) 469-46438,Hakim .Hussein@gmail.com
LD442957,7/31/1998,Shakeel ,Rabih,GSEA1,+(212) 628-62123,Shakeel .Rabih@gmail.com
WV510174,8/21/1998,Irfan ,Bakir,GSEA1,+(212) 547-18530,Irfan .Bakir@gmail.com
YD809112,7/29/1998,Karim,Wadih,GSEA1,+(212) 136-52394,Karim.Wadih@gmail.com
ZU447731,6/15/1998,Ali,Adem,GSEA1,+(212) 883-54191,Ali.Adem@gmail.com
DM251726,4/7/1999,Issam ,Salah ,GSEA1,+(212) 672-36059,Issam .Salah @gmail.com
RN945250,3/26/1999,Michel ,Shukri,GSEA1,+(212) 304-62353,Michel .Shukri@gmail.com
HI513113,6/21/1998,Anjem,Hadid ,GSEA1,+(212) 251-51092,Anjem.Hadid @gmail.com
TJ490899,1/10/1999,Abdul Ghaffar,Mamdouh,GSEA1,+(212) 487-07373,Abdul Ghaffar.Mamdouh@gmail.com
BX171033,9/22/1998,Wadih,Ali Naqi,GSEA1,+(212) 568-39903,Wadih.Ali Naqi@gmail.com
LU597601,3/4/1999,Nasser ,Abd Manaf,GSEA1,+(212) 057-55684,Nasser .Abd Manaf@gmail.com
ZQ332189,9/30/1998,Atiq,Mahmud,GSEA1,+(212) 449-60294,Atiq.Mahmud@gmail.com
ON798231,5/4/1998,Nuri ,Abdul Ahad,GSEA1,+(212) 826-70342,Nuri .Abdul Ahad@gmail.com
EG994277,5/21/1998,Numan,Abdul Hakim,GSEA1,+(212) 402-41051,Numan.Abdul Hakim@gmail.com
KE410904,4/9/1999,Ismat ad-Din,Samirah,GSEA1,+(212) 326-67886,Ismat ad-Din.Samirah@gmail.com
KW174676,6/3/1998,Hasib ,Omar ,GSEA1,+(212) 354-43290,Hasib .Omar @gmail.com
KB172895,2/5/1999,Ziad,Issam ,GSEA1,+(212) 747-41761,Ziad.Issam @gmail.com
UR799298,3/15/1999,Najim ,Jalal ad-Din,GSEA1,+(212) 249-61606,Najim .Jalal ad-Din@gmail.com
UJ505388,1/13/1998,Moatassem,Baha,GSEA1,+(212) 874-01104,Moatassem.Baha@gmail.com
ZX326596,5/28/1999,Khair ad-Din,Samee,GSEA1,+(212) 174-76937,Khair ad-Din.Samee@gmail.com
