CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
XM906386,9/2/1998,Satam,Jamal ad-Din,GSTR2,+(212) 858-28999,Satam.Jamal ad-Din@gmail.com
NW527822,4/26/1999,Sarmad,Nimatullah,GSTR2,+(212) 715-98053,Sarmad.Nimatullah@gmail.com
BA960906,2/25/1999,Saifullah,Hurairah,GSTR2,+(212) 129-02022,Saifullah.Hurairah@gmail.com
BV911534,6/23/1998,Shaban ,Sidqi,GSTR2,+(212) 262-33339,Shaban .Sidqi@gmail.com
ZZ619485,4/26/1999,Talib ,Shams al-Din,GSTR2,+(212) 524-02115,Talib .Shams al-Din@gmail.com
OE242596,12/9/1998,Shahrukh ,Ikhtiyar al-Din,GSTR2,+(212) 108-65162,Shahrukh .Ikhtiyar al-Din@gmail.com
GX391640,3/1/1999,Fahri,Muhibullah,GSTR2,+(212) 407-43517,Fahri.Muhibullah@gmail.com
SD515858,1/23/1999,Asad,Azhar,GSTR2,+(212) 211-01125,Asad.Azhar@gmail.com
EJ617985,3/8/1998,Ghulam Mohiuddin,Uday,GSTR2,+(212) 118-93317,Ghulam Mohiuddin.Uday@gmail.com
PB768170,5/16/1998,Izzat ,Abdi,GSTR2,+(212) 554-52408,Izzat .Abdi@gmail.com
HZ189290,8/13/1998,Abdul Monem,Imran,GSTR2,+(212) 229-48455,Abdul Monem.Imran@gmail.com
UF549337,4/28/1999,Sayf al-Din,Michel ,GSTR2,+(212) 459-21906,Sayf al-Din.Michel @gmail.com
QF959277,4/11/1998,Ali Naqi,Rashid al-Din,GSTR2,+(212) 099-87278,Ali Naqi.Rashid al-Din@gmail.com
PM418582,10/22/1998,Mojtaba,Hadid ,GSTR2,+(212) 337-09261,Mojtaba.Hadid @gmail.com
YP994904,12/16/1998,Hassan ,Amjad,GSTR2,+(212) 625-87855,Hassan .Amjad@gmail.com
AC153355,12/21/1998,Taher ,Fasih,GSTR2,+(212) 670-72094,Taher .Fasih@gmail.com
CF894922,6/6/1998,Fatin,Sharaf al-Din,GSTR2,+(212) 292-75883,Fatin.Sharaf al-Din@gmail.com
LD218676,2/28/1999,Ab,Abid,GSTR2,+(212) 708-02112,Ab.Abid@gmail.com
