CIN,FirstName,LastName,Dept_Attachement,Phone,Email
N28188449,Abu Nasr ,Omar ,AP1,+(212) 308-69710,Abu Nasr .Omar @gmail.com
N12139628,Zafer,Aminullah,AP1,+(212) 438-23294,Zafer.Aminullah@gmail.com
N96231136,Ali,Khadem,AP1,+(212) 612-28614,Ali.Khadem@gmail.com
N97273992,Daniel/Danyal,Abbad,AP1,+(212) 441-80272,Daniel/Danyal.Abbad@gmail.com
N34479313,Talhah ,Akram,AP1,+(212) 650-23816,Talhah .Akram@gmail.com
N89338402,Hashem,Rifat,AP1,+(212) 460-44479,Hashem.Rifat@gmail.com
N41984091,Michel ,Samiullah,AP1,+(212) 753-62365,Michel .Samiullah@gmail.com
N17186910,Bara,Abidin,AP1,+(212) 426-21862,Bara.Abidin@gmail.com
N68662934,Fazlul Karim,Abdul Muttalib,AP1,+(212) 301-45996,Fazlul Karim.Abdul Muttalib@gmail.com
N17691220,Zaki,Izzatullah,AP1,+(212) 036-77056,Zaki.Izzatullah@gmail.com
N71084403,Seif ilislam,Moatassem,AP1,+(212) 673-36319,Seif ilislam.Moatassem@gmail.com
N81868772,Ab,Sami ,AP1,+(212) 375-31435,Ab.Sami @gmail.com
N63455226,Mukhtar,Abdul Hai,AP2,+(212) 040-24112,Mukhtar.Abdul Hai@gmail.com
N82305171,Nizam al-Din,Kafeel,AP2,+(212) 604-84395,Nizam al-Din.Kafeel@gmail.com
N24627993,Hakam,Hazem,AP2,+(212) 298-95301,Hakam.Hazem@gmail.com
N15708638,Mu'iz ad-Din,Akeem,AP2,+(212) 122-24939,Mu'iz ad-Din.Akeem@gmail.com
N87259671,Fahmi,Waliullah ,AP2,+(212) 024-74803,Fahmi.Waliullah @gmail.com
N98983215,ayman,Ikrimah,AP2,+(212) 188-11407,ayman.Ikrimah@gmail.com
N84737552,Talib ,Zaim ,AP2,+(212) 000-04446,Talib .Zaim @gmail.com
N41973393,Kafeel,Ahmed Tijani,AP2,+(212) 764-43649,Kafeel.Ahmed Tijani@gmail.com
N49331839,Qaid,Bara,AP2,+(212) 701-31058,Qaid.Bara@gmail.com
N57246498,Rabih,Iqbal,AP2,+(212) 049-06133,Rabih.Iqbal@gmail.com
N97332944,Amin,Nasser ,AP2,+(212) 552-53704,Amin.Nasser @gmail.com
N76976639,Othman ,Salman ,AP2,+(212) 572-25864,Othman .Salman @gmail.com
N83617773,Sardar ,Adeem,AP2,+(212) 414-27526,Sardar .Adeem@gmail.com
N38111793,Sultan ,ayman,AP2,+(212) 891-31567,Sultan .ayman@gmail.com
N30301831,Lutfur Rahman,Yacine,GINF,+(212) 533-80521,Lutfur Rahman.Yacine@gmail.com
N41827424,Najm,Abbad,GINF,+(212) 634-95068,Najm.Abbad@gmail.com
N11777165,Abdul Malik,Abdur Rab,GINF,+(212) 008-18886,Abdul Malik.Abdur Rab@gmail.com
N23796005,Fathallah,Mahdi ,GINF,+(212) 589-96835,Fathallah.Mahdi @gmail.com
N84185029,Muhsin,Khalifah,GINF,+(212) 194-69419,Muhsin.Khalifah@gmail.com
N17936049,Zahir al-Din,Haydar,GINF,+(212) 501-61348,Zahir al-Din.Haydar@gmail.com
N23455836,Hani ,Tawfik,GINF,+(212) 329-73062,Hani .Tawfik@gmail.com
N41037075,Abbad,Imran,GIND,+(212) 354-22874,Abbad.Imran@gmail.com
N69627549,Abdul,Kamil,GIND,+(212) 672-56142,Abdul.Kamil@gmail.com
N24611778,Hidayatullah,Khalfan,GIND,+(212) 742-82968,Hidayatullah.Khalfan@gmail.com
N28049607,Murad,Hurairah,GIND,+(212) 847-13388,Murad.Hurairah@gmail.com
N19939214,Najib,Abdur Razzaq,GIND,+(212) 875-22709,Najib.Abdur Razzaq@gmail.com
N72895812,Najm,Ziauddin,GIND,+(212) 032-44314,Najm.Ziauddin@gmail.com
N91615659,Fadel,Mahfuz ,GIND,+(212) 846-96199,Fadel.Mahfuz @gmail.com
N85168282,Murtaza,Sarmad,GIND,+(212) 679-64354,Murtaza.Sarmad@gmail.com
N74869031,Midhat,Mukhtar,GSTR,+(212) 208-25544,Midhat.Mukhtar@gmail.com
N28392607,Rifat,Wafi,GSTR,+(212) 373-39910,Rifat.Wafi@gmail.com
N76391560,Hibat Allah,Wajid ,GSTR,+(212) 357-59600,Hibat Allah.Wajid @gmail.com
N33262297,Rabih,Fazli,GSTR,+(212) 763-13672,Rabih.Fazli@gmail.com
N79992711,Raji,Jabir,G3EI,+(212) 774-70483,Raji.Jabir@gmail.com
N65390406,Adam,Abdul Qayyum,G3EI,+(212) 734-23019,Adam.Abdul Qayyum@gmail.com
N80221058,Nawaz,Lutfullah,G3EI,+(212) 161-66463,Nawaz.Lutfullah@gmail.com
N98365805,Abu Hafs,Imad al-Din,G3EI,+(212) 771-28337,Abu Hafs.Imad al-Din@gmail.com
N96746272,Khalfan,Fasih,G3EI,+(212) 453-75040,Khalfan.Fasih@gmail.com
N12410198,Safi al-Din,Suleiman,G3EI,+(212) 843-50973,Safi al-Din.Suleiman@gmail.com
N63518371,Asghar,Shujauddin,G3EI,+(212) 402-22910,Asghar.Shujauddin@gmail.com
N45549157,Riad ,Abdul Samad,G3EI,+(212) 751-74062,Riad .Abdul Samad@gmail.com
N85678671,Idris ,Ikramullah,G3EI,+(212) 862-08044,Idris .Ikramullah@gmail.com
