FirstName,LastName,Dept_Attachement,Phone,Email
Abu Nasr ,Omar ,LCM,+(212) 308-69710,Abu Nasr .Omar @gmail.com
Zafer,Aminullah,SIC,+(212) 438-23294,Zafer.Aminullah@gmail.com
Ali,Khadem,MI,+(212) 612-28614,Ali.Khadem@gmail.com
Daniel/Danyal,Abbad,MI,+(212) 441-80272,Daniel/Danyal.Abbad@gmail.com
Talhah ,Akram,GEI,+(212) 650-23816,Talhah .Akram@gmail.com
Hashem,Rifat,GEI,+(212) 460-44479,Hashem.Rifat@gmail.com
Michel ,Samiullah,SIC,+(212) 753-62365,Michel .Samiullah@gmail.com
Bara,Abidin,GEI,+(212) 426-21862,Bara.Abidin@gmail.com
Fazlul Karim,Abdul Muttalib,MI,+(212) 301-45996,Fazlul Karim.Abdul Muttalib@gmail.com
Zaki,Izzatullah,LCM,+(212) 036-77056,Zaki.Izzatullah@gmail.com
Seif ilislam,Moatassem,LCM,+(212) 673-36319,Seif ilislam.Moatassem@gmail.com
Ab,Sami ,MI,+(212) 375-31435,Ab.Sami @gmail.com
Mukhtar,Abdul Hai,MI,+(212) 040-24112,Mukhtar.Abdul Hai@gmail.com
Nizam al-Din,Kafeel,SIC,+(212) 604-84395,Nizam al-Din.Kafeel@gmail.com
Hakam,Hazem,SIC,+(212) 298-95301,Hakam.Hazem@gmail.com
Mu'iz ad-Din,Akeem,GEI,+(212) 122-24939,Mu'iz ad-Din.Akeem@gmail.com
Fahmi,Waliullah ,LCM,+(212) 024-74803,Fahmi.Waliullah @gmail.com
ayman,Ikrimah,SIC,+(212) 188-11407,ayman.Ikrimah@gmail.com
Talib ,Zaim ,SIC,+(212) 000-04446,Talib .Zaim @gmail.com
Kafeel,Ahmed Tijani,MI,+(212) 764-43649,Kafeel.Ahmed Tijani@gmail.com
Qaid,Bara,SIC,+(212) 701-31058,Qaid.Bara@gmail.com
Rabih,Iqbal,MI,+(212) 049-06133,Rabih.Iqbal@gmail.com
Amin,Nasser ,SIC,+(212) 552-53704,Amin.Nasser @gmail.com
Othman ,Salman ,GEI,+(212) 572-25864,Othman .Salman @gmail.com
Sardar ,Adeem,LCM,+(212) 414-27526,Sardar .Adeem@gmail.com
Sultan ,ayman,SIC,+(212) 891-31567,Sultan .ayman@gmail.com
Lutfur Rahman,Yacine,GEI,+(212) 533-80521,Lutfur Rahman.Yacine@gmail.com
Najm,Abbad,LCM,+(212) 634-95068,Najm.Abbad@gmail.com
Abdul Malik,Abdur Rab,MI,+(212) 008-18886,Abdul Malik.Abdur Rab@gmail.com
Fathallah,Mahdi ,MI,+(212) 589-96835,Fathallah.Mahdi @gmail.com
Muhsin,Khalifah,MI,+(212) 194-69419,Muhsin.Khalifah@gmail.com
Zahir al-Din,Haydar,MI,+(212) 501-61348,Zahir al-Din.Haydar@gmail.com
Hani ,Tawfik,MI,+(212) 329-73062,Hani .Tawfik@gmail.com
Abbad,Imran,GEI,+(212) 354-22874,Abbad.Imran@gmail.com
Abdul,Kamil,GEI,+(212) 672-56142,Abdul.Kamil@gmail.com
Hidayatullah,Khalfan,GEI,+(212) 742-82968,Hidayatullah.Khalfan@gmail.com
Murad,Hurairah,GEI,+(212) 847-13388,Murad.Hurairah@gmail.com
Najib,Abdur Razzaq,GEI,+(212) 875-22709,Najib.Abdur Razzaq@gmail.com
Najm,Ziauddin,SIC,+(212) 032-44314,Najm.Ziauddin@gmail.com
Fadel,Mahfuz ,SIC,+(212) 846-96199,Fadel.Mahfuz @gmail.com
Murtaza,Sarmad,SIC,+(212) 679-64354,Murtaza.Sarmad@gmail.com
Midhat,Mukhtar,SIC,+(212) 208-25544,Midhat.Mukhtar@gmail.com
Rifat,Wafi,SIC,+(212) 373-39910,Rifat.Wafi@gmail.com
Hibat Allah,Wajid ,GEI,+(212) 357-59600,Hibat Allah.Wajid @gmail.com
Rabih,Fazli,GEI,+(212) 763-13672,Rabih.Fazli@gmail.com
Raji,Jabir,SIC,+(212) 774-70483,Raji.Jabir@gmail.com
Adam,Abdul Qayyum,MI,+(212) 734-23019,Adam.Abdul Qayyum@gmail.com
Nawaz,Lutfullah,MI,+(212) 161-66463,Nawaz.Lutfullah@gmail.com
Abu Hafs,Imad al-Din,LCM,+(212) 771-28337,Abu Hafs.Imad al-Din@gmail.com
Khalfan,Fasih,LCM,+(212) 453-75040,Khalfan.Fasih@gmail.com
Safi al-Din,Suleiman,LCM,+(212) 843-50973,Safi al-Din.Suleiman@gmail.com
Asghar,Shujauddin,MI,+(212) 402-22910,Asghar.Shujauddin@gmail.com
Riad ,Abdul Samad,MI,+(212) 751-74062,Riad .Abdul Samad@gmail.com
Idris ,Ikramullah,GEI,+(212) 862-08044,Idris .Ikramullah@gmail.com
