CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
JE163595,2/19/1999,Asil,Hamid,AP2,+(212) 487-51323,Asil.Hamid@gmail.com
XB137222,1/13/1998,Sahir,Sattar,AP2,+(212) 531-03861,Sahir.Sattar@gmail.com
RZ363123,10/15/1998,Fazlallah,Wajdi,AP2,+(212) 211-61646,Fazlallah.Wajdi@gmail.com
UV436700,8/30/1998,Zaim ,Osama ,AP2,+(212) 209-66668,Zaim .Osama @gmail.com
AJ866222,5/1/1998,Hikmat,Fazlul Haq,AP2,+(212) 456-20196,Hikmat.Fazlul Haq@gmail.com
RU497724,4/28/1998,Fazl ur Rahman,Sajid,AP2,+(212) 777-18065,Fazl ur Rahman.Sajid@gmail.com
EK479503,9/7/1998,Sarmad,Fazl,AP2,+(212) 761-96226,Sarmad.Fazl@gmail.com
RY681681,10/22/1998,Abbad,Mizanur Rahman,AP2,+(212) 491-54081,Abbad.Mizanur Rahman@gmail.com
TM408890,4/18/1998,Wahed,Wajdi,AP2,+(212) 709-86621,Wahed.Wajdi@gmail.com
FJ283201,5/20/1999,Abdul Basit,Husam ad-Din,AP2,+(212) 652-79380,Abdul Basit.Husam ad-Din@gmail.com
VI139016,5/6/1999,Azem,Mohannad,AP2,+(212) 254-73386,Azem.Mohannad@gmail.com
RN412025,4/10/1999,Abu'l-Fadl,Nihad,AP2,+(212) 846-18601,Abu'l-Fadl.Nihad@gmail.com
MQ662100,6/18/1998,Ekram,Khalfan,AP2,+(212) 088-12112,Ekram.Khalfan@gmail.com
SV239267,4/20/1999,Wadud,Abdul Alim,AP2,+(212) 493-18822,Wadud.Abdul Alim@gmail.com
EO635145,8/26/1998,Wajid ,Muhammad ,AP2,+(212) 417-49169,Wajid .Muhammad @gmail.com
KC654828,3/11/1998,Yusha ,Lutfur Rahman,AP2,+(212) 636-04569,Yusha .Lutfur Rahman@gmail.com
BK754700,6/8/1998,Ahsan,Abdur Rahim,AP2,+(212) 372-13459,Ahsan.Abdur Rahim@gmail.com
WO927205,12/2/1998,Abdul Monem,Samiullah,AP2,+(212) 456-36343,Abdul Monem.Samiullah@gmail.com
MI603817,10/2/1998,Rafiq,Wajdi,AP2,+(212) 067-05714,Rafiq.Wajdi@gmail.com
VQ734026,11/15/1998,Baha' al-Din,Saddam ,AP2,+(212) 556-18908,Baha' al-Din.Saddam @gmail.com
WC470830,3/8/1998,Abdul Hussein,Atiqullah,AP2,+(212) 283-91455,Abdul Hussein.Atiqullah@gmail.com
XJ366132,3/2/1999,Shaheed,Tufail,AP2,+(212) 110-75097,Shaheed.Tufail@gmail.com
SA787622,8/2/1998,Khalil-ur-Rehman,Nawaz,AP2,+(212) 756-08370,Khalil-ur-Rehman.Nawaz@gmail.com
VP182580,12/17/1998,Baha' al-Din,Ikrimah,AP2,+(212) 726-07746,Baha' al-Din.Ikrimah@gmail.com
DW260839,1/16/1998,Iqbal,Abu Bakr,AP2,+(212) 413-33608,Iqbal.Abu Bakr@gmail.com
AY320464,11/4/1998,Raed,Mumtaz,AP2,+(212) 193-91687,Raed.Mumtaz@gmail.com
OU295582,3/9/1999,Khadem,Mumtaz,AP2,+(212) 449-62873,Khadem.Mumtaz@gmail.com
RI630439,11/14/1998,Wadih,Hanif ,AP2,+(212) 427-43648,Wadih.Hanif @gmail.com
XI742108,2/7/1998,Rajab ,Ayub,AP2,+(212) 444-83170,Rajab .Ayub@gmail.com
RG342086,11/16/1998,Tayfur,Mubarak ,AP2,+(212) 613-93754,Tayfur.Mubarak @gmail.com
BQ657673,8/15/1998,Abu'l-Fadl,Nabih,AP2,+(212) 487-06020,Abu'l-Fadl.Nabih@gmail.com
OX640911,7/7/1998,Sharaf al-Din,Abdul Haq,AP2,+(212) 875-69129,Sharaf al-Din.Abdul Haq@gmail.com
UL602574,3/14/1999,Waliullah ,Abdullah,AP2,+(212) 896-43757,Waliullah .Abdullah@gmail.com
DB847791,1/1/1998,Wahid,Sultan ,AP2,+(212) 163-41357,Wahid.Sultan @gmail.com
GG840010,6/28/1999,Rushdi,Kamal ad-Din,AP2,+(212) 505-48255,Rushdi.Kamal ad-Din@gmail.com
VT220541,10/18/1998,Raed,Abdi,AP2,+(212) 515-82141,Raed.Abdi@gmail.com
KT882359,6/17/1998,Boulos,Wajdi,AP2,+(212) 174-65485,Boulos.Wajdi@gmail.com
DP602000,4/21/1998,Inaam,Abdi,AP2,+(212) 362-50062,Inaam.Abdi@gmail.com
IN452305,10/22/1998,Kadri ,Talhah ,AP2,+(212) 896-51775,Kadri .Talhah @gmail.com
BW301452,9/27/1998,Rayan,Abbas,AP2,+(212) 689-01267,Rayan.Abbas@gmail.com
TA140665,5/23/1998,Abd al-Aziz,Jarrah ,AP2,+(212) 822-89283,Abd al-Aziz.Jarrah @gmail.com
UN151181,3/11/1999,Sharaf al-Din,Aman Ali,AP2,+(212) 866-85444,Sharaf al-Din.Aman Ali@gmail.com
MK313726,3/31/1999,Sarmad,Suhail,AP2,+(212) 042-02161,Sarmad.Suhail@gmail.com
RH975325,5/8/1999,Bakir,Tufail,AP2,+(212) 534-92492,Bakir.Tufail@gmail.com
QT886298,10/15/1998,Taher ,Nazimuddin,AP2,+(212) 687-12539,Taher .Nazimuddin@gmail.com
HN662896,2/10/1999,Dawoud,Jarrah ,AP2,+(212) 832-33056,Dawoud.Jarrah @gmail.com
LJ351572,9/13/1998,Abdul Khaliq,Khalil ,AP2,+(212) 732-15245,Abdul Khaliq.Khalil @gmail.com
AW987238,6/4/1999,Qutb ad-Din,Abdul Alim,AP2,+(212) 003-10367,Qutb ad-Din.Abdul Alim@gmail.com
YE130764,7/5/1998,Talib ,Atif,AP2,+(212) 532-83350,Talib .Atif@gmail.com
YH753037,2/12/1999,Muammer,Barkat Ali,AP2,+(212) 260-78942,Muammer.Barkat Ali@gmail.com
RI453898,4/4/1998,Aqeel,Badi,AP2,+(212) 441-61204,Aqeel.Badi@gmail.com
ZW456105,5/29/1998,Satam,Amjad,AP2,+(212) 446-01693,Satam.Amjad@gmail.com
ZM812054,2/1/1998,Ab,Munif,AP2,+(212) 078-01845,Ab.Munif@gmail.com
WF678114,11/15/1998,Fasih,Abdul Qadir,AP2,+(212) 189-93067,Fasih.Abdul Qadir@gmail.com
BO189477,1/28/1998,Rajaei,Saud,AP2,+(212) 177-88390,Rajaei.Saud@gmail.com
IX432070,3/1/1999,Abdul Wadud,Khair ad-Din,AP2,+(212) 770-96138,Abdul Wadud.Khair ad-Din@gmail.com
RU624600,4/9/1998,Sajjad,Kamal ad-Din,AP2,+(212) 328-64759,Sajjad.Kamal ad-Din@gmail.com
MN864177,3/22/1998,Sanaullah,Daniel/Danyal,AP2,+(212) 044-37339,Sanaullah.Daniel/Danyal@gmail.com
WZ975378,4/19/1999,Tahmid,Shukri,AP2,+(212) 615-07614,Tahmid.Shukri@gmail.com
ED260596,3/5/1999,Abu Abdullah,Adli,AP2,+(212) 019-96470,Abu Abdullah.Adli@gmail.com
GT755903,12/9/1998,Kulthum,Taqi al-Din,AP2,+(212) 810-72384,Kulthum.Taqi al-Din@gmail.com
FT752023,1/4/1998,Najim ,Fahd,AP2,+(212) 539-38684,Najim .Fahd@gmail.com
TL636700,10/15/1998,Kazem,Abdel Fattah,AP2,+(212) 790-57216,Kazem.Abdel Fattah@gmail.com
FA799461,4/4/1999,Inayatullah,Tariq,AP2,+(212) 150-20349,Inayatullah.Tariq@gmail.com
JC554119,3/9/1999,Ali Naqi,Barkatullah,AP2,+(212) 333-93701,Ali Naqi.Barkatullah@gmail.com
DY540347,6/4/1999,Imad,Sanaullah,AP2,+(212) 277-72159,Imad.Sanaullah@gmail.com
HG565677,9/25/1998,Muslim ,Habib ur Rahman,AP2,+(212) 166-53207,Muslim .Habib ur Rahman@gmail.com
EY628629,1/31/1999,Rasul ,Najm,AP2,+(212) 386-92953,Rasul .Najm@gmail.com
XJ500567,8/24/1998,Sajid,Fahmi,AP2,+(212) 250-48396,Sajid.Fahmi@gmail.com
QI104074,5/30/1999,Daniel/Danyal,Zane,AP2,+(212) 515-39688,Daniel/Danyal.Zane@gmail.com
KS801328,6/23/1998,Ghulam,Abdul Hakim,AP2,+(212) 845-71181,Ghulam.Abdul Hakim@gmail.com
