CIN,CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
N86229087,BC672961,4/26/1998,Qudratullah,Aman Ali,G3EI1,+(212) 386-27699,Qudratullah.Aman Ali@gmail.com
N98079033,SZ755299,3/22/1999,Hayatullah,Ishak ,G3EI1,+(212) 142-95866,Hayatullah.Ishak @gmail.com
N95694254,DI762748,9/11/1998,Sanaullah,Othman ,G3EI1,+(212) 058-83881,Sanaullah.Othman @gmail.com
N43114007,DT767971,3/14/1999,Junayd,Atiqullah,G3EI1,+(212) 103-23193,Junayd.Atiqullah@gmail.com
N58857373,NF639370,2/2/1999,Nawaf,Aminullah,G3EI1,+(212) 224-60588,Nawaf.Aminullah@gmail.com
N37210561,PF125015,3/4/1998,Zainal,Zubayr ,G3EI1,+(212) 511-86700,Zainal.Zubayr @gmail.com
N37029972,TI287668,1/9/1998,Ubayd Allah,Abdul Hamid,G3EI1,+(212) 253-21369,Ubayd Allah.Abdul Hamid@gmail.com
N94600013,DV381495,2/9/1999,Nu'man,Sa‘id,G3EI1,+(212) 044-78522,Nu'man.Sa‘id@gmail.com
N80257845,HD180685,2/22/1998,Abdul Ghaffar,Azus,G3EI1,+(212) 452-40637,Abdul Ghaffar.Azus@gmail.com
N68561744,ZV181260,1/8/1999,Majid ,Manzur,G3EI1,+(212) 512-76815,Majid .Manzur@gmail.com
N25616793,FS286705,2/20/1999,Bashar,Abdul Rashid,G3EI1,+(212) 501-46408,Bashar.Abdul Rashid@gmail.com
N90063750,GX490326,8/11/1998,Husam ad-Din,Atif,G3EI1,+(212) 070-48130,Husam ad-Din.Atif@gmail.com
N33543417,BR145978,3/11/1998,Salman ,Abbas,G3EI1,+(212) 689-82926,Salman .Abbas@gmail.com
N34043530,PJ948206,6/20/1998,Inayatullah,Hadem,G3EI1,+(212) 201-64058,Inayatullah.Hadem@gmail.com
N19037413,ZL964167,1/19/1998,Azeem,Nasir al-Din,G3EI1,+(212) 816-22250,Azeem.Nasir al-Din@gmail.com
N95063409,WL390613,8/31/1998,Boulos,Rashad,G3EI1,+(212) 062-28466,Boulos.Rashad@gmail.com
N71687502,ZH989738,1/5/1998,Billah,Nowfal,G3EI1,+(212) 109-09989,Billah.Nowfal@gmail.com
N91269991,LW374657,1/7/1998,Abu'l-Fadl,Nawaf,G3EI1,+(212) 080-48180,Abu'l-Fadl.Nawaf@gmail.com
N57991502,NG227067,6/9/1999,Munib,Yakub,G3EI1,+(212) 308-73357,Munib.Yakub@gmail.com
N86741712,JL568767,7/22/1998,Barkatullah,Ibro,G3EI1,+(212) 242-56409,Barkatullah.Ibro@gmail.com
N67311012,BD764739,7/6/1998,Alim,Jamil,G3EI1,+(212) 553-69010,Alim.Jamil@gmail.com
N76052361,VJ478525,4/28/1998,Jameel,Gaffar,G3EI1,+(212) 835-34687,Jameel.Gaffar@gmail.com
N68683617,GS748778,2/6/1998,Abu'l-Fadl,Abdul Hai,G3EI1,+(212) 533-77267,Abu'l-Fadl.Abdul Hai@gmail.com
N25863005,MA912027,8/11/1998,Jubayr,Nizam al-Din,G3EI1,+(212) 231-78902,Jubayr.Nizam al-Din@gmail.com
N52342519,TI421856,2/27/1998,Abdul Mannan,Akif,G3EI1,+(212) 588-44971,Abdul Mannan.Akif@gmail.com
N78434962,WN846806,2/9/1998,Jameel,Zahir al-Din,G3EI1,+(212) 162-36049,Jameel.Zahir al-Din@gmail.com
N76733370,JK826887,11/13/1998,Samiullah,Sidqi,G3EI1,+(212) 556-42188,Samiullah.Sidqi@gmail.com
N69798253,VA527787,3/7/1998,Azhar,Uthman ,G3EI1,+(212) 493-27643,Azhar.Uthman @gmail.com
N21223891,AB434424,6/9/1998,Lalji,Naseer,G3EI1,+(212) 400-75473,Lalji.Naseer@gmail.com
N34313023,QM799230,3/3/1999,Adeel,Khadem,G3EI1,+(212) 537-57021,Adeel.Khadem@gmail.com
N65087064,VR512889,7/11/1998,Brahim,Fazl ur Rahman,G3EI1,+(212) 826-10633,Brahim.Fazl ur Rahman@gmail.com
N22665638,WL260562,6/24/1999,Zahir al-Din,Shawkat,G3EI1,+(212) 042-97336,Zahir al-Din.Shawkat@gmail.com
N20156988,PA150171,6/23/1998,Kamal ad-Din,Jamal,G3EI1,+(212) 437-71164,Kamal ad-Din.Jamal@gmail.com
N31353693,DP427323,11/17/1998,Shad ,Asif,G3EI1,+(212) 719-17416,Shad .Asif@gmail.com
N81146590,HK501669,3/4/1999,Ammar,Murad,G3EI1,+(212) 378-93076,Ammar.Murad@gmail.com
N21969438,TX294227,11/23/1998,Naif ,Daniel/Danyal,G3EI1,+(212) 029-49927,Naif .Daniel/Danyal@gmail.com
N24064931,MA922941,6/10/1998,Fathi,Ghassan ,G3EI1,+(212) 423-55002,Fathi.Ghassan @gmail.com
N15178746,NI678827,12/23/1998,Raed,Baha,G3EI1,+(212) 620-75875,Raed.Baha@gmail.com
N84207354,XA203755,4/2/1999,Wahid,Abid,G3EI1,+(212) 703-52334,Wahid.Abid@gmail.com
N45751606,DO419865,2/10/1999,Imad,Jamil,G3EI1,+(212) 179-99853,Imad.Jamil@gmail.com
N70041271,CZ329263,7/14/1998,Quddus,Bagher,G3EI1,+(212) 649-72318,Quddus.Bagher@gmail.com
N42708173,EG189364,6/2/1998,Sajjad,Murad,G3EI1,+(212) 397-36786,Sajjad.Murad@gmail.com
N81924059,LK600403,12/21/1998,Mansur,Nihad,G3EI1,+(212) 873-57416,Mansur.Nihad@gmail.com
N41612838,IE412784,5/2/1999,Hafizullah,Rakib,G3EI1,+(212) 385-82416,Hafizullah.Rakib@gmail.com
N10733411,KJ852535,7/17/1998,Hayatullah,Lalji,G3EI1,+(212) 379-09744,Hayatullah.Lalji@gmail.com
N86747341,XW517935,4/19/1999,Aman Ali,Arif,G3EI1,+(212) 559-17795,Aman Ali.Arif@gmail.com
N24677761,VN764893,7/7/1998,Ihsan ,Junayd,G3EI1,+(212) 279-66718,Ihsan .Junayd@gmail.com
N28825560,GT438718,5/20/1998,Mohy al-Din,Sarmad,G3EI1,+(212) 859-33781,Mohy al-Din.Sarmad@gmail.com
N11099446,HD126420,9/15/1998,Nassif,Ridwan ,G3EI1,+(212) 466-68969,Nassif.Ridwan @gmail.com
