CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
XH437005,2/12/1998,Shukri,Fakhr al-Din,G3EI2,+(212) 088-58451,Shukri.Fakhr al-Din@gmail.com
BI504323,6/24/1999,Fariduddin,Ghulam Mohiuddin,G3EI2,+(212) 753-25740,Fariduddin.Ghulam Mohiuddin@gmail.com
JH105788,7/3/1998,Wajid ,Daud ,G3EI2,+(212) 610-69366,Wajid .Daud @gmail.com
NG460216,4/22/1999,Ghanem,Azimullah,G3EI2,+(212) 541-08938,Ghanem.Azimullah@gmail.com
ET666112,4/9/1998,Abu Hamza,Othman ,G3EI2,+(212) 268-91759,Abu Hamza.Othman @gmail.com
FC695337,11/8/1998,Nasrallah,Azimullah,G3EI2,+(212) 568-56415,Nasrallah.Azimullah@gmail.com
AU919772,8/16/1998,Abu Nasir,Rashad,G3EI2,+(212) 166-64743,Abu Nasir.Rashad@gmail.com
TR817721,3/6/1999,Rashad,Yusuf Ali,G3EI2,+(212) 114-88502,Rashad.Yusuf Ali@gmail.com
PX191630,2/12/1998,Hisham ud-Din,Abu Bakr,G3EI2,+(212) 239-93858,Hisham ud-Din.Abu Bakr@gmail.com
TB964332,3/3/1999,Imtiaz,Uthman ,G3EI2,+(212) 393-48005,Imtiaz.Uthman @gmail.com
MR133716,4/16/1999,Muammer,Abu Nasir,G3EI2,+(212) 673-43175,Muammer.Abu Nasir@gmail.com
OI709319,7/20/1998,Akeem,Nuh ,G3EI2,+(212) 452-84092,Akeem.Nuh @gmail.com
KI478135,9/16/1998,Khalid,Zaki,G3EI2,+(212) 423-11536,Khalid.Zaki@gmail.com
KX913596,6/6/1998,Najibullah,Harun,G3EI2,+(212) 054-83092,Najibullah.Harun@gmail.com
KV949867,7/25/1998,Abdel Nour,Baha,G3EI2,+(212) 344-12536,Abdel Nour.Baha@gmail.com
NN786782,3/31/1998,Moatassem,Azhar,G3EI2,+(212) 435-05588,Moatassem.Azhar@gmail.com
OE978860,11/29/1998,Mahfuz ,Ramzan,G3EI2,+(212) 006-12912,Mahfuz .Ramzan@gmail.com
WA578930,10/7/1998,Khakim,Adem,G3EI2,+(212) 834-58908,Khakim.Adem@gmail.com
MM791357,1/8/1999,Abdullah,Qusay,G3EI2,+(212) 620-95570,Abdullah.Qusay@gmail.com
DG846906,2/9/1998,Aden ,Wazir,G3EI2,+(212) 624-50199,Aden .Wazir@gmail.com
ZD690492,10/15/1998,Nur al-Din,Daud ,G3EI2,+(212) 446-89564,Nur al-Din.Daud @gmail.com
WU642501,6/6/1998,Caden,Samiullah,G3EI2,+(212) 794-22216,Caden.Samiullah@gmail.com
BA504432,7/26/1998,Adir,Abbas,G3EI2,+(212) 842-62298,Adir.Abbas@gmail.com
TG908975,12/29/1998,Afif,Jasem,G3EI2,+(212) 018-78491,Afif.Jasem@gmail.com
LH750599,3/5/1999,Raed,Safi al-Din,G3EI2,+(212) 862-86543,Raed.Safi al-Din@gmail.com
ZB954080,9/9/1998,Fouzan,Khakim,G3EI2,+(212) 886-13998,Fouzan.Khakim@gmail.com
UL251206,2/27/1998,Nurullah,Abdul,G3EI2,+(212) 451-68654,Nurullah.Abdul@gmail.com
MM591873,10/2/1998,Shujauddin,Shahrukh ,G3EI2,+(212) 034-52530,Shujauddin.Shahrukh @gmail.com
EK489168,4/11/1999,Abdus Salam,Aden ,G3EI2,+(212) 543-14666,Abdus Salam.Aden @gmail.com
ER798699,1/19/1998,Abu Hamza,Dastgir,G3EI2,+(212) 108-33817,Abu Hamza.Dastgir@gmail.com
DL237651,4/15/1999,Hidayatullah,Izzatullah,G3EI2,+(212) 120-90095,Hidayatullah.Izzatullah@gmail.com
UK452004,8/5/1998,Muhsin,Abd al-Uzza,G3EI2,+(212) 254-22573,Muhsin.Abd al-Uzza@gmail.com
SK610716,12/10/1998,Haldun,Talib ,G3EI2,+(212) 745-17364,Haldun.Talib @gmail.com
VU934487,1/15/1999,Qutb,Abu'l-Fadl,G3EI2,+(212) 266-52835,Qutb.Abu'l-Fadl@gmail.com
UB709746,5/31/1999,Abdul,Nahyan,G3EI2,+(212) 251-38719,Abdul.Nahyan@gmail.com
RU112265,7/5/1998,Hassim,Rahmi,G3EI2,+(212) 096-27873,Hassim.Rahmi@gmail.com
VP829823,1/8/1999,Abdur Rahim,Samir,G3EI2,+(212) 344-40107,Abdur Rahim.Samir@gmail.com
HF264595,12/15/1998,Ali Naqi,Kazem,G3EI2,+(212) 393-56448,Ali Naqi.Kazem@gmail.com
PS674261,5/6/1998,Adem,Kazem,G3EI2,+(212) 106-04557,Adem.Kazem@gmail.com
TQ947324,5/13/1998,Hossam,Samiullah,G3EI2,+(212) 213-86248,Hossam.Samiullah@gmail.com
BQ452576,8/6/1998,Sultan ,Naqibullah,G3EI2,+(212) 600-24027,Sultan .Naqibullah@gmail.com
