CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
VP832395,10/21/1998,Inayatullah,Saleh ,GIND2,+(212) 069-90583,Inayatullah.Saleh @gmail.com
BN156844,4/11/1998,Nasir al-Din,Wasim,GIND2,+(212) 119-68707,Nasir al-Din.Wasim@gmail.com
JH717304,2/11/1998,ayman,Samadu,GIND2,+(212) 293-82796,ayman.Samadu@gmail.com
IF862604,2/12/1999,Midhat,Amin,GIND2,+(212) 856-15284,Midhat.Amin@gmail.com
MV703437,4/29/1999,Barkatullah,Faizullah,GIND2,+(212) 221-95318,Barkatullah.Faizullah@gmail.com
XT551459,4/8/1998,Abu Hafs,Tayeb,GIND2,+(212) 317-01136,Abu Hafs.Tayeb@gmail.com
KP248353,2/27/1998,Abdul Hamid,Karem,GIND2,+(212) 398-67873,Abdul Hamid.Karem@gmail.com
LM947771,1/28/1999,Faraj,Badi,GIND2,+(212) 678-17849,Faraj.Badi@gmail.com
SX737123,1/20/1999,Azhar,Jurj,GIND2,+(212) 040-85076,Azhar.Jurj@gmail.com
YO730595,10/25/1998,Habib ur Rahman,Mahbubur,GIND2,+(212) 001-86667,Habib ur Rahman.Mahbubur@gmail.com
ZA353354,3/27/1998,Faris ,Fakhruddin,GIND2,+(212) 676-28165,Faris .Fakhruddin@gmail.com
SY460429,9/14/1998,Ekram,Muharrem,GIND2,+(212) 251-31166,Ekram.Muharrem@gmail.com
MN291157,12/3/1998,Nusrat,Faizullah,GIND2,+(212) 861-53552,Nusrat.Faizullah@gmail.com
QH258524,8/4/1998,Ziad,Ishtiaq,GIND2,+(212) 550-99531,Ziad.Ishtiaq@gmail.com
YB173902,8/1/1998,Baki,Abdul,GIND2,+(212) 638-23535,Baki.Abdul@gmail.com
XX374403,3/18/1999,Sidique,Moin ,GIND2,+(212) 096-60122,Sidique.Moin @gmail.com
PH949793,10/24/1998,Naguib,Ja'far,GIND2,+(212) 617-83419,Naguib.Ja'far@gmail.com
JV910331,12/13/1998,Sirajuddin,Samer ,GIND2,+(212) 519-11869,Sirajuddin.Samer @gmail.com
ZJ727191,12/23/1998,Abdul Hai,Aden ,GIND2,+(212) 648-69713,Abdul Hai.Aden @gmail.com
LQ380592,4/10/1999,Nawaf,Qusay,GIND2,+(212) 618-60418,Nawaf.Qusay@gmail.com
DF490207,3/28/1999,Abdu,Azhar,GIND2,+(212) 889-04043,Abdu.Azhar@gmail.com
MB263264,3/10/1998,Hashem,Sanaullah,GIND2,+(212) 649-10304,Hashem.Sanaullah@gmail.com
TM252271,12/19/1998,Hidayatullah,Boutros,GIND2,+(212) 388-34169,Hidayatullah.Boutros@gmail.com
BP112920,7/5/1998,Wissem,Shukri,GIND2,+(212) 120-37036,Wissem.Shukri@gmail.com
IW638585,3/25/1998,Zainal,Jabr,GIND2,+(212) 877-09106,Zainal.Jabr@gmail.com
KN997334,3/6/1998,Abdel Nour,Hamza ,GIND2,+(212) 667-89690,Abdel Nour.Hamza @gmail.com
FD405632,9/21/1998,Gulzar ,Amanullah,GIND2,+(212) 222-05773,Gulzar .Amanullah@gmail.com
GC904013,3/16/1999,Faiz,Imran,GIND2,+(212) 585-93314,Faiz.Imran@gmail.com
SE787766,4/28/1999,Jamal ad-Din,Nazimuddin,GIND2,+(212) 623-33209,Jamal ad-Din.Nazimuddin@gmail.com
XB386671,1/27/1998,Afif,Nadir ,GIND2,+(212) 553-39611,Afif.Nadir @gmail.com
NF903178,9/14/1998,Abdul Azim,Hafeez,GIND2,+(212) 777-97508,Abdul Azim.Hafeez@gmail.com
BA277762,1/18/1999,Marwan,Habib ur Rahman,GIND2,+(212) 302-37586,Marwan.Habib ur Rahman@gmail.com
HP116797,2/6/1999,Murad,Fazli,GIND2,+(212) 418-78800,Murad.Fazli@gmail.com
VD799539,9/11/1998,Hamid al-Din,Anjem,GIND2,+(212) 322-30995,Hamid al-Din.Anjem@gmail.com
EC265041,2/1/1998,Faraj,Zakariya,GIND2,+(212) 597-82576,Faraj.Zakariya@gmail.com
RG204923,4/8/1998,Abbad,Anwar,GIND2,+(212) 844-11295,Abbad.Anwar@gmail.com
EQ575449,1/24/1998,Khair ad-Din,Mu'iz ad-Din,GIND2,+(212) 220-81012,Khair ad-Din.Mu'iz ad-Din@gmail.com
CG854677,5/12/1998,Abdolreza,Hadi,GIND2,+(212) 107-63351,Abdolreza.Hadi@gmail.com
RU491098,3/14/1998,Yahya ,Suleiman,GIND2,+(212) 057-06511,Yahya .Suleiman@gmail.com
UZ790586,5/30/1999,Imad al-Din,Yahya ,GIND2,+(212) 340-42742,Imad al-Din.Yahya @gmail.com
RK968009,5/31/1999,Nur,Abo,GIND2,+(212) 550-75332,Nur.Abo@gmail.com
HC933843,5/9/1998,Talat ,Abdel Nour,GIND2,+(212) 697-05848,Talat .Abdel Nour@gmail.com
HW673892,1/22/1998,Adib,Mehdi,GIND2,+(212) 189-83260,Adib.Mehdi@gmail.com
FD308487,12/28/1998,Latif,Adam,GIND2,+(212) 086-39364,Latif.Adam@gmail.com
