CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
HT467799,5/14/1999,Abdul Jamil,Yusuf Ali,GINF3,+(212) 255-95299,Abdul Jamil.Yusuf Ali@gmail.com
MP758468,4/9/1998,Saifur Rahman,Azimullah,GINF3,+(212) 597-26930,Saifur Rahman.Azimullah@gmail.com
TR918610,3/25/1999,Osama ,Hadem,GINF3,+(212) 814-18410,Osama .Hadem@gmail.com
FM915688,9/3/1998,Wadih,Abdul Qadir,GINF3,+(212) 173-99732,Wadih.Abdul Qadir@gmail.com
DO965537,9/26/1998,Arif,Abdul Majid,GINF3,+(212) 375-36095,Arif.Abdul Majid@gmail.com
DY162224,8/9/1998,Izzat ,Khalid,GINF3,+(212) 671-40367,Izzat .Khalid@gmail.com
SN803544,11/13/1998,Husam ad-Din,Raji,GINF3,+(212) 883-63017,Husam ad-Din.Raji@gmail.com
JF469032,3/14/1998,Inaam,Qasymbek,GINF3,+(212) 881-98797,Inaam.Qasymbek@gmail.com
LT439897,12/20/1998,Ismail ,Mashallah ,GINF3,+(212) 732-14388,Ismail .Mashallah @gmail.com
GP423662,5/23/1999,Rakibul,Hamdan,GINF3,+(212) 851-86490,Rakibul.Hamdan@gmail.com
MJ676845,5/23/1998,Qutb ad-Din,Samir,GINF3,+(212) 233-01193,Qutb ad-Din.Samir@gmail.com
JU371212,9/4/1998,Qudratullah,Yusuf Ali,GINF3,+(212) 739-07539,Qudratullah.Yusuf Ali@gmail.com
DE414724,4/12/1999,Yunus,Imran,GINF3,+(212) 011-48119,Yunus.Imran@gmail.com
GI669535,2/13/1998,Hamdi,Daniel/Danyal,GINF3,+(212) 122-31256,Hamdi.Daniel/Danyal@gmail.com
OB813079,4/23/1999,Badi,Moin ,GINF3,+(212) 767-15872,Badi.Moin @gmail.com
ZO636769,4/9/1998,Naji,Muhibullah,GINF3,+(212) 095-01904,Naji.Muhibullah@gmail.com
SC626922,6/9/1998,Abdul Basir,Ahmed Tijani,GINF3,+(212) 465-44854,Abdul Basir.Ahmed Tijani@gmail.com
SL770899,2/7/1998,Abdul Jalil,Adham,GINF3,+(212) 573-47262,Abdul Jalil.Adham@gmail.com
JX148320,6/11/1998,Wahed,Saleh ,GINF3,+(212) 236-37272,Wahed.Saleh @gmail.com
GO188569,7/4/1998,Ruhullah,Zafer,GINF3,+(212) 241-70059,Ruhullah.Zafer@gmail.com
IR662019,1/23/1998,Reza,Uthman ,GINF3,+(212) 851-01648,Reza.Uthman @gmail.com
PT502547,5/29/1998,Nabih,Jubayr,GINF3,+(212) 120-65398,Nabih.Jubayr@gmail.com
CG215252,6/21/1999,Safi ,Wafi,GINF3,+(212) 730-98915,Safi .Wafi@gmail.com
PM282088,11/27/1998,Nahyan,Alim,GINF3,+(212) 441-95948,Nahyan.Alim@gmail.com
LQ522974,6/25/1998,Kadri ,Abdul Mannan,GINF3,+(212) 196-35883,Kadri .Abdul Mannan@gmail.com
BB547993,3/20/1998,Inam-ul-Haq,Nuh ,GINF3,+(212) 659-76203,Inam-ul-Haq.Nuh @gmail.com
UO314699,9/28/1998,Jahid,Wahed,GINF3,+(212) 241-45342,Jahid.Wahed@gmail.com
HJ272288,2/8/1998,Jawad ,Faris ,GINF3,+(212) 495-12749,Jawad .Faris @gmail.com
LH694990,6/16/1999,Nasir al-Din,Nusrat,GINF3,+(212) 013-23584,Nasir al-Din.Nusrat@gmail.com
HJ438985,9/30/1998,Jabal ,Ikramullah,GINF3,+(212) 600-42150,Jabal .Ikramullah@gmail.com
LJ720767,9/2/1998,Salah ,Irfan ,GINF3,+(212) 897-77873,Salah .Irfan @gmail.com
GZ760692,1/11/1998,Abdul Rashid,Shahrukh ,GINF3,+(212) 595-68986,Abdul Rashid.Shahrukh @gmail.com
NR396726,10/6/1998,Shaban ,Daud ,GINF3,+(212) 133-21703,Shaban .Daud @gmail.com
AR223697,4/17/1998,Nadur (last name),Ka'b,GINF3,+(212) 056-86840,Nadur (last name).Ka'b@gmail.com
FZ311949,6/2/1999,Ridwan ,Wajid ,GINF3,+(212) 598-89931,Ridwan .Wajid @gmail.com
TS779099,6/6/1998,Rashid al-Din,Fakhruddin,GINF3,+(212) 502-72172,Rashid al-Din.Fakhruddin@gmail.com
TU986851,5/22/1998,Habib ur Rahman,Fahri,GINF3,+(212) 349-55662,Habib ur Rahman.Fahri@gmail.com
VP910069,10/22/1998,ayman,Aziz,GINF3,+(212) 161-37655,ayman.Aziz@gmail.com
RP247827,6/6/1998,Mubarak ,Rakibul,GINF3,+(212) 847-64894,Mubarak .Rakibul@gmail.com
AF297562,6/25/1999,Ja'far,Asghar,GINF3,+(212) 748-06023,Ja'far.Asghar@gmail.com
QW965602,3/8/1999,Sabri,Aladdin,GINF3,+(212) 296-47002,Sabri.Aladdin@gmail.com
PB720784,4/22/1998,Daniel/Danyal,Shawkat,GINF3,+(212) 489-87503,Daniel/Danyal.Shawkat@gmail.com
DB872901,5/12/1998,Qutb,Sadr al-Din,GINF3,+(212) 889-23019,Qutb.Sadr al-Din@gmail.com
XZ545049,5/19/1998,Rakibul,Khadem,GINF3,+(212) 524-63312,Rakibul.Khadem@gmail.com
XQ529887,5/26/1999,Bara,Rahmi,GINF3,+(212) 713-12374,Bara.Rahmi@gmail.com
