CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
QK156787,12/16/1998,Fathi,Wazir,GSE3,+(212) 184-38668,Fathi.Wazir@gmail.com
HS582176,11/3/1998,Yahir,Izzat ,GSE3,+(212) 679-10986,Yahir.Izzat @gmail.com
HX242213,5/16/1999,Ammar,Sidique,GSE3,+(212) 198-63530,Ammar.Sidique@gmail.com
UC532969,5/3/1998,Yadollah,Ziad,GSE3,+(212) 236-39205,Yadollah.Ziad@gmail.com
GC874562,2/19/1999,Abdul Malik,Atiqullah,GSE3,+(212) 264-66668,Abdul Malik.Atiqullah@gmail.com
GV694292,12/30/1998,Naim,Mojtaba,GSE3,+(212) 134-21929,Naim.Mojtaba@gmail.com
RT961203,3/15/1998,Saleh ,Lalji,GSE3,+(212) 020-77158,Saleh .Lalji@gmail.com
DF692559,9/4/1998,Zafarullah,Nazif,GSE3,+(212) 306-97463,Zafarullah.Nazif@gmail.com
BZ925096,2/24/1999,Irfan ,Nu'man,GSE3,+(212) 842-56964,Irfan .Nu'man@gmail.com
AA459511,1/20/1999,Daniel/Danyal,Nimatullah,GSE3,+(212) 533-58532,Daniel/Danyal.Nimatullah@gmail.com
DL211512,10/28/1998,Nadeem,Azim,GSE3,+(212) 205-75669,Nadeem.Azim@gmail.com
NQ262356,4/9/1998,Abu Hafs,Bashar,GSE3,+(212) 455-17282,Abu Hafs.Bashar@gmail.com
NY680818,5/4/1998,Ataullah,Jarrah ,GSE3,+(212) 443-71185,Ataullah.Jarrah @gmail.com
KM545832,5/2/1999,Abdullah,Hamidullah,GSE3,+(212) 789-94523,Abdullah.Hamidullah@gmail.com
DH128982,2/12/1998,Anjem,Nasrallah,GSE3,+(212) 565-06069,Anjem.Nasrallah@gmail.com
OY124641,4/25/1998,Talal,Jaber,GSE3,+(212) 584-76318,Talal.Jaber@gmail.com
QQ382585,10/21/1998,Abidin,Gulzar ,GSE3,+(212) 237-50410,Abidin.Gulzar @gmail.com
FT804341,1/17/1998,Abu Hafs,Abu Hafs,GSE3,+(212) 025-28600,Abu Hafs.Abu Hafs@gmail.com
WB811770,3/5/1998,Khakim,Abdul Mannan,GSE3,+(212) 436-96279,Khakim.Abdul Mannan@gmail.com
VA875412,6/17/1998,Hayatullah,Jihad ,GSE3,+(212) 305-11180,Hayatullah.Jihad @gmail.com
JW473842,4/23/1999,Melhem,Suleiman,GSE3,+(212) 116-93729,Melhem.Suleiman@gmail.com
GR947938,2/9/1998,Hafeez,Amin al-Din,GSE3,+(212) 771-95429,Hafeez.Amin al-Din@gmail.com
QL234007,12/11/1998,Rashad,Murad,GSE3,+(212) 526-56068,Rashad.Murad@gmail.com
VQ497663,9/20/1998,Rashid al-Din,Raed,GSE3,+(212) 302-51238,Rashid al-Din.Raed@gmail.com
JY142913,1/29/1998,Uday,Jubayr,GSE3,+(212) 635-41181,Uday.Jubayr@gmail.com
MH733833,3/23/1998,Yusha ,Yacine,GSE3,+(212) 031-04831,Yusha .Yacine@gmail.com
