CNE,DateOfBirth,FirstName,LastName,ClassName,Phone,Email
OI927232,3/26/1998,Najibullah,Shawkat,GSTR3,+(212) 678-69371,Najibullah.Shawkat@gmail.com
MH230353,9/18/1998,Wajid ,Ismatullah,GSTR3,+(212) 193-18753,Wajid .Ismatullah@gmail.com
MO328925,1/1/1998,Ali Naqi,Nuri ,GSTR3,+(212) 707-95089,Ali Naqi.Nuri @gmail.com
GY936925,3/16/1998,Hikmat,Wajdi,GSTR3,+(212) 142-48775,Hikmat.Wajdi@gmail.com
NP909058,5/27/1999,Fathi,Jabir,GSTR3,+(212) 272-13718,Fathi.Jabir@gmail.com
PE767823,4/29/1998,Karem,Qudratullah,GSTR3,+(212) 452-73709,Karem.Qudratullah@gmail.com
LW400326,4/20/1998,Khakim,Kulthum,GSTR3,+(212) 401-18686,Khakim.Kulthum@gmail.com
AP815540,7/24/1998,Moneim,Brahim,GSTR3,+(212) 525-96808,Moneim.Brahim@gmail.com
EB708698,2/9/1998,Imad,Jawdat,GSTR3,+(212) 899-05412,Imad.Jawdat@gmail.com
BQ714647,9/16/1998,Faqir ,Abdul Malik,GSTR3,+(212) 101-31812,Faqir .Abdul Malik@gmail.com
SC516772,12/16/1998,Atif,Billah,GSTR3,+(212) 567-69547,Atif.Billah@gmail.com
IM561067,1/22/1999,Mahdi ,Numan,GSTR3,+(212) 236-32029,Mahdi .Numan@gmail.com
TL284977,7/22/1998,Ubayd Allah,Sami ,GSTR3,+(212) 329-73827,Ubayd Allah.Sami @gmail.com
FB286073,2/1/1999,Qasymbek,Ubayd Allah,GSTR3,+(212) 338-62059,Qasymbek.Ubayd Allah@gmail.com
IJ343200,9/24/1998,Munib,Abdul Basir,GSTR3,+(212) 846-55455,Munib.Abdul Basir@gmail.com
DM329595,11/25/1998,Sayyid ,Amir,GSTR3,+(212) 217-12869,Sayyid .Amir@gmail.com
EH293488,12/12/1998,Faisal,Muharrem,GSTR3,+(212) 788-41041,Faisal.Muharrem@gmail.com
PC750582,11/2/1998,Qasymbek,Qusay,GSTR3,+(212) 073-36819,Qasymbek.Qusay@gmail.com
EZ481792,2/21/1998,Asad,Abu Bakr,GSTR3,+(212) 341-71749,Asad.Abu Bakr@gmail.com
CI550025,4/19/1999,Hamza ,Bagher,GSTR3,+(212) 522-92701,Hamza .Bagher@gmail.com
