N48407732,JY847782,5/11/1998,Fakhruddin,Khalfan,AP1,+(212) 880-33575,Fakhruddin.Khalfan@gmail.com
N58570799,BM918669,5/10/1998,Faiz,Adli,AP1,+(212) 889-11142,Faiz.Adli@gmail.com
N80395149,MF654993,5/24/1998,Junayd,Adib,AP1,+(212) 032-59320,Junayd.Adib@gmail.com
N12366683,UL427332,12/7/1998,Nu'man,Abdu,AP1,+(212) 495-37385,Nu'man.Abdu@gmail.com
N89197985,TH892041,1/7/1999,Hichem,Adil,AP1,+(212) 631-92886,Hichem.Adil@gmail.com
N87315984,ZJ148180,5/28/1999,Zahir al-Din,Nadir ,AP1,+(212) 377-76867,Zahir al-Din.Nadir @gmail.com
N98605898,QM730899,2/6/1998,Abdul Mannan,Mohy al-Din,AP1,+(212) 035-74564,Abdul Mannan.Mohy al-Din@gmail.com
N64205307,XN923575,5/13/1999,Hamidullah,Ammar,AP1,+(212) 441-27507,Hamidullah.Ammar@gmail.com
N78866147,BY923279,1/19/1998,Hassan ,Abdur Rauf,AP1,+(212) 303-11135,Hassan .Abdur Rauf@gmail.com
N19902802,FB937566,9/2/1998,Ahsan,Ikramullah,AP1,+(212) 501-44599,Ahsan.Ikramullah@gmail.com
N54101910,QY756879,6/6/1999,Saqib,Zane,AP1,+(212) 429-89740,Saqib.Zane@gmail.com
N29617516,UH143126,12/4/1998,Wafi,Shaheed,AP1,+(212) 892-94266,Wafi.Shaheed@gmail.com
N84897355,BX568184,6/5/1998,Azizullah,Suleiman,AP1,+(212) 197-04937,Azizullah.Suleiman@gmail.com
N37164269,UX416282,4/24/1999,Zahed,Habib,AP1,+(212) 492-81266,Zahed.Habib@gmail.com
N14657818,XX602402,3/11/1999,Michel ,Nazim,AP1,+(212) 181-73214,Michel .Nazim@gmail.com
N64120355,YR388650,3/12/1999,Amr,Bakir,AP1,+(212) 659-78329,Amr.Bakir@gmail.com
N88895665,CJ539597,1/22/1998,Rahman ,Nimatullah,AP1,+(212) 142-70484,Rahman .Nimatullah@gmail.com
N37395105,UH445833,8/15/1998,Jabir,Moin ,AP1,+(212) 238-45573,Jabir.Moin @gmail.com
N56185247,CE161242,9/10/1998,Wadud,Ghanem,AP1,+(212) 367-26098,Wadud.Ghanem@gmail.com
N39619971,XC279958,12/11/1998,Najibullah,Aqeel,AP1,+(212) 183-30015,Najibullah.Aqeel@gmail.com
N12908479,IA885320,8/16/1998,Amanullah,Aminullah,AP1,+(212) 504-42835,Amanullah.Aminullah@gmail.com
N25623447,XB634668,3/29/1998,Faheem,Haydar,AP1,+(212) 171-24054,Faheem.Haydar@gmail.com
N81800149,AY696688,3/3/1998,Tarazi,Ismat ad-Din,AP1,+(212) 513-12037,Tarazi.Ismat ad-Din@gmail.com
N15688728,YQ773929,4/5/1998,Ari,Hikmat,AP1,+(212) 301-60063,Ari.Hikmat@gmail.com
N24995194,YL601210,11/26/1998,Abdul Ghani,Nadeem,AP1,+(212) 034-77190,Abdul Ghani.Nadeem@gmail.com
N31099008,BJ470435,6/21/1999,Hassan ,Mustafa,AP1,+(212) 296-01913,Hassan .Mustafa@gmail.com
N61573395,BI878048,12/30/1998,Jaber,Taher ,AP1,+(212) 498-10938,Jaber.Taher @gmail.com
N80305637,CJ623195,7/19/1998,Abdul Jalil,Haydar,AP1,+(212) 412-24322,Abdul Jalil.Haydar@gmail.com
N77669767,HW487758,12/16/1998,Atiq,Abdul Mannan,AP1,+(212) 086-72792,Atiq.Abdul Mannan@gmail.com
N44856895,KA346437,10/20/1998,Ikhtiyar al-Din,Amir,AP1,+(212) 553-63982,Ikhtiyar al-Din.Amir@gmail.com
N96094178,GX626672,9/28/1998,Abdu,Moin ,AP1,+(212) 007-57419,Abdu.Moin @gmail.com
N99701017,FM791463,4/14/1998,Abdul Majid,Wafi,AP1,+(212) 598-72760,Abdul Majid.Wafi@gmail.com
N22338016,TI520826,5/15/1999,Zaid,Azizur Rahman,AP1,+(212) 582-22637,Zaid.Azizur Rahman@gmail.com
N77659460,KC550357,3/20/1998,Zakariya,Bara,AP1,+(212) 880-23602,Zakariya.Bara@gmail.com
N69106021,QW553618,1/4/1998,Amir,Fariduddin,AP1,+(212) 355-46968,Amir.Fariduddin@gmail.com
N74536514,KG530622,11/13/1998,Abdul Azim,Amanullah,AP1,+(212) 579-80437,Abdul Azim.Amanullah@gmail.com
N55077074,KR659288,2/14/1999,Jalal ad-Din,Rashad,AP1,+(212) 047-59287,Jalal ad-Din.Rashad@gmail.com
N94367278,IM480391,4/5/1999,Moncef,Hashem,AP1,+(212) 222-57899,Moncef.Hashem@gmail.com
N52842711,BD724280,7/19/1998,Hadi,Shakeel ,AP1,+(212) 726-42315,Hadi.Shakeel @gmail.com
N94434391,DG512325,5/2/1998,Boutros,Baki,AP1,+(212) 477-15342,Boutros.Baki@gmail.com
N70036088,TT273988,11/22/1998,Rajaei,Abd al-Aziz,AP1,+(212) 121-48610,Rajaei.Abd al-Aziz@gmail.com
